id,author_year,title,source_type,abstract_or_note,domain,relevance_note,themes,confidence,justification
1,Adadi and Berrada (2018),Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence,Journal article,"Survey note describing explainable AI as a response to black box machine learning and the need for transparency, interpretability, and trust.",Explainable AI,Useful for defining XAI and its conceptual foundations.,Conceptual Foundations; Opportunities,Medium,"Keyword evidence - Conceptual Foundations: explainable, interpretability, transparency; Opportunities: trust"
2,Molnar (2022),Interpretable Machine Learning,Book,"Introduces interpretable machine learning methods including feature importance, partial dependence, surrogate models, and model-specific interpretation.",Interpretable machine learning,Supports discussion of interpretable models and post-hoc methods.,Conceptual Foundations; XAI Methods,Medium,"Keyword evidence - Conceptual Foundations: interpretable; XAI Methods: post-hoc, surrogate, method"
3,Ribeiro et al. (2016),Why Should I Trust You? Explaining the Predictions of Any Classifier,Conference paper,Presents LIME as a post-hoc local surrogate explanation method intended to help users understand individual model predictions.,Post-hoc explanation,"Relevant for methods, opportunities, and user trust.",XAI Methods; Opportunities; Human-Centered XAI,High,"Keyword evidence - XAI Methods: lime, post-hoc, surrogate; Opportunities: trust; Human-Centered XAI: user"
4,Lundberg and Lee (2017),A Unified Approach to Interpreting Model Predictions,Conference paper,Introduces SHAP as a feature attribution method connecting model explanations with game-theoretic reasoning.,Post-hoc explanation,Relevant for XAI methods and practical interpretation of model outputs.,XAI Methods,Medium,"Keyword evidence - XAI Methods: shap, post-hoc, feature attribution"
5,Arrieta et al. (2020),"Explainable Artificial Intelligence: Concepts, Taxonomies, Opportunities and Challenges",Journal article,"Discusses XAI concepts, taxonomies, opportunities, and challenges in intelligent systems, including transparency and trustworthiness.",Explainable AI,"Useful for broad thesis framing across definitions, opportunities, and limitations.",Conceptual Foundations; Opportunities; Challenges and Limitations,High,"Keyword evidence - Conceptual Foundations: explainable, transparency; Opportunities: trust; Challenges and Limitations: challenge, limitation"
6,Doshi-Velez and Kim (2017),Towards a Rigorous Science of Interpretable Machine Learning,Working paper,Argues for clearer evaluation practices for interpretability and distinguishes different evaluation settings and user needs.,XAI evaluation,Supports challenge and evaluation discussion.,Conceptual Foundations; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: interpretability, interpretable; Challenges and Limitations: challenge, evaluation; Human-Centered XAI: user; Practical Implications: practice"
7,Miller (2019),Explanation in Artificial Intelligence: Insights from the Social Sciences,Journal article,"Highlights that explanations should consider human reasoning, contrastive explanation, and stakeholder understanding.",Human-centered XAI,Relevant for human-centered XAI and communication.,Opportunities; Human-Centered XAI,Medium,"Keyword evidence - Opportunities: communication; Human-Centered XAI: human, stakeholder, understanding"
8,Amann et al. (2020),Explainability for Artificial Intelligence in Healthcare,Journal article,"Discusses healthcare AI, clinicians, patient safety, accountability, and the limits of explanation in clinical decision support.",Healthcare AI,Supports practical implications in high-risk healthcare contexts.,Opportunities; Challenges and Limitations; Human-Centered XAI; Practical Implications; Governance and Trustworthy AI,High,Keyword evidence - Opportunities: decision support; Challenges and Limitations: risk; Human-Centered XAI: clinician; Practical Implications: healthcare; Governance and Trustworthy AI: accountability
9,Goodman and Flaxman (2017),European Union Regulations on Algorithmic Decision-Making and a Right to Explanation,Journal article,"Connects transparency, accountability, governance, and legal debates around automated decision-making.",Governance and Trustworthy AI,"Relevant for governance, accountability, and trustworthy AI.",Conceptual Foundations; Opportunities; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: transparency; Opportunities: trust; Governance and Trustworthy AI: accountability, governance, trustworthy"
10,Rudin (2019),Stop Explaining Black Box Machine Learning Models for High Stakes Decisions,Journal article,Critiques reliance on post-hoc explanations in high-stakes settings and argues for interpretable models where possible.,Trustworthy AI,"Useful for limitations, ethical risk, and practical implications.",Conceptual Foundations; XAI Methods; Opportunities; Challenges and Limitations; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: interpretable, black box; XAI Methods: post-hoc; Opportunities: trust; Challenges and Limitations: limitation, risk; Governance and Trustworthy AI: trustworthy, ethical"
11,Bhatt et al. (2020),Explainable Machine Learning in Deployment,Conference paper,"Discusses deployment challenges, stakeholder needs, explanation monitoring, and operational issues in real-world AI systems.",Practical implications,Relevant for applied XAI and real-world implementation.,Conceptual Foundations; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Challenges and Limitations: challenge; Human-Centered XAI: stakeholder; Practical Implications: deployment, operational, real-world"
12,Gunning and Aha (2019),DARPA's Explainable Artificial Intelligence Program,Journal article,"Describes the goals of XAI research, including interpretable models, user understanding, and explanation effectiveness.",Explainable AI,"Useful for foundations, opportunities, and human-centered evaluation.",Conceptual Foundations; Challenges and Limitations; Human-Centered XAI,High,"Keyword evidence - Conceptual Foundations: explainable, interpretable, foundation; Challenges and Limitations: evaluation; Human-Centered XAI: human, user, understanding"
13,NIST (2023),Artificial Intelligence Risk Management Framework,Framework document,"Provides governance-oriented guidance related to trustworthy AI, risk management, accountability, transparency, and responsible use.",Fairness and accountability,Supports governance and trustworthy AI discussion.,Conceptual Foundations; Opportunities; Challenges and Limitations; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: transparency; Opportunities: trust; Challenges and Limitations: risk; Governance and Trustworthy AI: fairness, accountability, governance"
14,Bussmann et al. (2020),Explainable AI in Credit Risk Management,Journal article,"Discusses finance AI, credit risk, model transparency, accountability, and practical implications for regulated decision-making.",Finance AI,"Relevant for finance, governance, and applied XAI.",Conceptual Foundations; Challenges and Limitations; Practical Implications; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: explainable, transparency; Challenges and Limitations: risk; Practical Implications: finance; Governance and Trustworthy AI: accountability, governance"
15,Apruzzese et al. (2023),Explainable AI for Cybersecurity,Survey article,"Reviews cybersecurity AI uses where explanations can support analyst understanding, trust, and investigation of model alerts.",Cybersecurity AI,Relevant for practical implications and human-centered security work.,Conceptual Foundations; Opportunities; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Opportunities: trust; Human-Centered XAI: human, understanding; Practical Implications: cybersecurity"
16,Atakishiyev et al. (2024),Explainable Artificial Intelligence for Autonomous Driving,Survey article,"Reviews XAI for autonomous systems, including safety, human trust, decision explanation, and evaluation challenges.",Autonomous systems,"Relevant for practical implications, trust, and limitations.",Conceptual Foundations; Opportunities; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Opportunities: trust; Challenges and Limitations: challenge, limitation, evaluation; Human-Centered XAI: human; Practical Implications: autonomous"
