id,author_year,title,domain,themes,confidence,justification
1,Adadi and Berrada (2018),Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence,Explainable AI,Conceptual Foundations; Opportunities,Medium,"Keyword evidence - Conceptual Foundations: explainable, interpretability, transparency; Opportunities: trust"
2,Molnar (2022),Interpretable Machine Learning,Interpretable machine learning,Conceptual Foundations; XAI Methods,Medium,"Keyword evidence - Conceptual Foundations: interpretable; XAI Methods: post-hoc, surrogate, method"
3,Ribeiro et al. (2016),Why Should I Trust You? Explaining the Predictions of Any Classifier,Post-hoc explanation,XAI Methods; Opportunities; Human-Centered XAI,High,"Keyword evidence - XAI Methods: lime, post-hoc, surrogate; Opportunities: trust; Human-Centered XAI: user"
4,Lundberg and Lee (2017),A Unified Approach to Interpreting Model Predictions,Post-hoc explanation,XAI Methods,Medium,"Keyword evidence - XAI Methods: shap, post-hoc, feature attribution"
5,Arrieta et al. (2020),"Explainable Artificial Intelligence: Concepts, Taxonomies, Opportunities and Challenges",Explainable AI,Conceptual Foundations; Opportunities; Challenges and Limitations,High,"Keyword evidence - Conceptual Foundations: explainable, transparency; Opportunities: trust; Challenges and Limitations: challenge, limitation"
6,Doshi-Velez and Kim (2017),Towards a Rigorous Science of Interpretable Machine Learning,XAI evaluation,Conceptual Foundations; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: interpretability, interpretable; Challenges and Limitations: challenge, evaluation; Human-Centered XAI: user; Practical Implications: practice"
7,Miller (2019),Explanation in Artificial Intelligence: Insights from the Social Sciences,Human-centered XAI,Opportunities; Human-Centered XAI,Medium,"Keyword evidence - Opportunities: communication; Human-Centered XAI: human, stakeholder, understanding"
8,Amann et al. (2020),Explainability for Artificial Intelligence in Healthcare,Healthcare AI,Opportunities; Challenges and Limitations; Human-Centered XAI; Practical Implications; Governance and Trustworthy AI,High,Keyword evidence - Opportunities: decision support; Challenges and Limitations: risk; Human-Centered XAI: clinician; Practical Implications: healthcare; Governance and Trustworthy AI: accountability
9,Goodman and Flaxman (2017),European Union Regulations on Algorithmic Decision-Making and a Right to Explanation,Governance and Trustworthy AI,Conceptual Foundations; Opportunities; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: transparency; Opportunities: trust; Governance and Trustworthy AI: accountability, governance, trustworthy"
10,Rudin (2019),Stop Explaining Black Box Machine Learning Models for High Stakes Decisions,Trustworthy AI,Conceptual Foundations; XAI Methods; Opportunities; Challenges and Limitations; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: interpretable, black box; XAI Methods: post-hoc; Opportunities: trust; Challenges and Limitations: limitation, risk; Governance and Trustworthy AI: trustworthy, ethical"
11,Bhatt et al. (2020),Explainable Machine Learning in Deployment,Practical implications,Conceptual Foundations; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Challenges and Limitations: challenge; Human-Centered XAI: stakeholder; Practical Implications: deployment, operational, real-world"
12,Gunning and Aha (2019),DARPA's Explainable Artificial Intelligence Program,Explainable AI,Conceptual Foundations; Challenges and Limitations; Human-Centered XAI,High,"Keyword evidence - Conceptual Foundations: explainable, interpretable, foundation; Challenges and Limitations: evaluation; Human-Centered XAI: human, user, understanding"
13,NIST (2023),Artificial Intelligence Risk Management Framework,Fairness and accountability,Conceptual Foundations; Opportunities; Challenges and Limitations; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: transparency; Opportunities: trust; Challenges and Limitations: risk; Governance and Trustworthy AI: fairness, accountability, governance"
14,Bussmann et al. (2020),Explainable AI in Credit Risk Management,Finance AI,Conceptual Foundations; Challenges and Limitations; Practical Implications; Governance and Trustworthy AI,High,"Keyword evidence - Conceptual Foundations: explainable, transparency; Challenges and Limitations: risk; Practical Implications: finance; Governance and Trustworthy AI: accountability, governance"
15,Apruzzese et al. (2023),Explainable AI for Cybersecurity,Cybersecurity AI,Conceptual Foundations; Opportunities; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Opportunities: trust; Human-Centered XAI: human, understanding; Practical Implications: cybersecurity"
16,Atakishiyev et al. (2024),Explainable Artificial Intelligence for Autonomous Driving,Autonomous systems,Conceptual Foundations; Opportunities; Challenges and Limitations; Human-Centered XAI; Practical Implications,High,"Keyword evidence - Conceptual Foundations: explainable; Opportunities: trust; Challenges and Limitations: challenge, limitation, evaluation; Human-Centered XAI: human; Practical Implications: autonomous"
